,product_name,product_price
117,Beautifully Soft Cami and Shorts Pajama Set - Stars Above™,$19.99
118,Short Sleeve Oversized Graphic T-Shirt - Wild Fable™,$12.80
119,Hanes Women's Extended Size Cushioned 10pk Crew Socks - 8-12,$10.99
120,Cotton Boy Shorts - Auden™,$5.10 - $6.00
121,Beautifully Soft Short Sleeve Notch Collar Top and Shorts Pajama Set - Stars Above™,$21.99
122,Seamless Bralette - Auden™,$8.50 - $10.00
123,Strawberry Shortcake Short Sleeve Graphic T-Shirt - Pink,$10.39
124,Short Sleeve Cropped T-Shirt - Wild Fable™,$4.00 - $4.25
125,Striped 6pk Crew Socks - A New Day™ Black/White/Gray 4-10,$9.00
126,Lingerie Cheeky Underwear - Auden™,$7.00
127,Spaghetti Strap Bodysuit - Wild Fable™,$9.60
128,Lace Tanga Cheeky Underwear - Auden™,$5.95 - $7.00
129,Cotton Seamless Cheeky Underwear - Auden™,$5.10 - $6.00
130,Cotton Bikini Underwear with Lace - Auden™,$5.00
131,Nirvana Short Sleeve Graphic T-Shirt - Black,$10.39
132,Reversible Seamless Bralette - Colsie™,$7.00
133,Sloth Low Cut Socks - Xhilaration™ Green One Size,$1.50
134,Lace String Thong - Auden™,$5.95 - $7.00
135,Super-High Rise Distressed Straight Jeans - Wild Fable™ Medium Wash,$25.00
136,Open Cardigan - A New Day™,$28.00
137,Party Dino Ankle Socks - Xhilaration™ Cream 4-10,$2.50
138,Utility Midi A-Line Skirt - Universal Thread™,$22.95 - $26.49
139,Hanes Women's Extended Size 10pk Ankle Socks - 8-12,$10.99
140,Open-Front Cardigan - Universal Thread™,$23.80 - $28.00
141,Peds Women's Unseen 2pk Liner Casual Socks - 5-10,$5.50
142,Cotton Ribbed Side Cable Knee High Socks - Universal Thread™ 4-10,$5.10
143,Soft Stretch Pants - All in Motion™,$30.00
144,Nursing 2pk Pull Over Seamless Sleep Bra - Auden™,$19.99
145,Cotton Hipster Underwear with Lace Waistband - Auden™,$5.10 - $6.00
146,Seamless Bikini Underwear - Auden™,$4.25 - $5.00
147,Snorkeling Cow Low Cut Socks - Xhilaration™ Blue 4-10,$1.50
148,ASSETS by SPANX Women's High-Waist Shaping Tights,$18.00
149,Hanes Women's Cushioned 10pk Ankle Socks - 5-9,$10.99
150,High-Waisted Ultra Soft Leggings - Wild Fable™,$18.00
151,Relaxed Fit Spring Blazer - A New Day™,$38.00
