Column1,Product,Handle,Price,,,,,
120,Like A Boss Pullover,like-a-boss-pullover-latte,165,,,,,
121,Like A Boss Pullover,like-a-boss-pullover-cocoa,165,,,,,
122,Like A Boss Pullover,like-a-boss-pullover-mist,165,,,,,
123,Like A Dream Joggers,womens-like-a-dream-wide-cropped-joggers,165,,,,,
124,Like A Dream Joggers,like-a-dream-joggers-merlot,165,,,,,
125,Like A Dream Joggers,like-a-dream-joggers-sand,165,,,,,
126,Like A Dream Joggers,like-a-dream-joggers-moss,165,,,,,
127,Like A Fleece Sweatshirt,like-a-fleece,165,,,,,
128,Like A Hug Sweatshirt,like-a-hug-sweatshirt,145,,,,,
129,Like A Hug Sweatshirt,like-a-hug-sweatshirt-coconut,145,,,,,
130,Long Haul Satin Jumpsuit,womens-satin-jumpsuit-long-haul,195,,,,,
131,Made It T-Shirt,made-it-t-shirt-black,95,,,,,
132,Made It T-Shirt,made-it-t-shirt-white,95,,,,,
133,Made It T-Shirt,made-it-t-shirt-stripe,95,,,,,
134,Made It T-Shirt,made-it-t-shirt-oat,90,,,,,
135,Made It T-Shirt,made-it-t-shirt-moss,95,,,,,
136,Made It T-Shirt,made-it-t-shirt-merlot,95,,,,,
137,Necessi-T-Shirt,necessi-t-shirt,95,,,,,
138,Necessi-T-Shirt,necessi-t-shirt-black,95,,,,,
139,Necessi-T-Shirt,necessi-t-shirt-moss,95,,,,,
140,Necessi-T-Shirt,necessi-t-shirt-merlot,95,,,,,
141,Necessi-T-Shirt,necessi-t-shirt-pecan,95,,,,,
142,Necessi-T-Shirt,necessi-t-shirt-lake,95,,,,,
143,Necessi-T-Shirt (3-pack),necessi-t-shirt-3-pack,265,,,,,
144,No Sweat Sweater,no-sweat-sweater-black,200,,,,,
145,No Sweat Sweater,no-sweat-sweater-nori,200,,,,,
146,No Sweat Sweater,no-sweat-sweater-pepper,200,,,,,
147,Not So Basic Tank Top,womens-scoop-neck-sustainable-tank-top-not-so-basic,68,,,,,
148,Not So Basic Tank Top,not-so-basic-tank-top-coconut,68,,,,,
149,Offset Your Next Trip,buy-carbon-offsets-your-next-trip,2,,,,,
150,On Board Satin Pants,womens-satin-pants-on-board,80.95,,,,,
151,Over In One Wrap Dress,over-in-one-wrap-dress-moss,165,,,,,
152,Overhead Turtleneck Top,womens-long-sleeve-turtleneck-top-overhead,98,,,,,
153,Pack It Up Joggers,womens-high-waisted-joggers-pack-it-up,138,,,,,
154,Pack It Up Joggers,pack-it-up-joggers-moss,138,,,,,
155,Pleat And Repeat Tank Top,womens-high-neck-tank-top-pleat-and-repeat,70,,,,,
156,Pleat And Repeat Tank Top,pleat-and-repeat-tank-top-midnight-1,70,,,,,
157,Portfolio Shorts,womens-work-shorts-madeagain-portfolio,180,,,,,
158,Portfolio Shorts,portfolio-shorts-midnight,180,,,,,
159,Portfolio Tailored Pants,womens-tailored-dress-pants-portfolio,210,,,,,
160,Portfolio Tailored Pants,portfolio-tailored-pants-oat-1,210,,,,,
161,Portfolio Tailored Pants,portfolio-tailored-pants-midnight-1,210,,,,,
162,Rain Or Shine Hooded Scarf,rain-or-shine-hooded-scarf-black,150,,,,,
163,Rain Or Shine Hooded Scarf,rain-or-shine-hooded-scarf-pepper,150,,,,,
164,Rain Or Shine Hooded Scarf,rain-or-shine-hooded-scarf-latte,150,,,,,
165,Relax I'm Flax Linen Shirt,womens-linen-shirt-blouse-relax-im-flax,170,,,,,
166,Relax I'm Flax Linen Shirt,relax-im-flax-linen-shirt-black,160,,,,,
167,Self-Care Shorts,womens-shorts-with-pockets-self-care,88,,,,,
168,Shrug It Off Scarf,shrug-it-off-scarf-black,180,,,,,
169,Shrug It Off Scarf,shrug-it-off-scarf-pepper,180,,,,,
170,Shrug It Off Scarf,shrug-it-off-scarf-oat,180,,,,,
171,Simple Things Top,simple-things-top-mustard-2,78,,,,,
172,Snap To It Tank Top,womens-thin-strap-tank-top-snap-to-it,78,,,,,
173,Snap To It Tank Top,snap-to-it-tank-top-white,78,,,,,
174,Snap To It Tank Top,snap-to-it-tank-top-cloud,78,,,,,
175,Snap To It Tank Top,snap-to-it-tank-top-papaya,78,,,,,
176,Snap To It Tank Top,snap-to-it-tank-top-sunflower,78,,,,,
177,Something Borrowed Dress,womens-long-sleeve-shirt-dress-something-borrowed,195,,,,,
178,Something Borrowed Dress,something-borrowed-dress-midnight,195,,,,,
179,Something Borrowed Dress,something-borrowed-dress-merlot,195,,,,,
180,Something Borrowed Dress,something-borrowed-dress-oat,195,,,,,
181,Something Borrowed Dress,something-borrowed-dress-sky,195,,,,,
182,Something Borrowed Dress,copy-of-something-borrowed-dress,195,,,,,
183,Something Borrowed Shirt,womens-button-up-boyfriend-shirt-blouse-something-borrowed,150,,,,,
184,Something Borrowed Shirt,something-borrowed-shirt-black,150,,,,,
185,Something Borrowed Shirt,something-borrowed-shirt-merlot,150,,,,,
186,Something Borrowed Shirt,something-borrowed-shirt-moss,150,,,,,
187,Something Borrowed Shirt,something-borrowed-shirt-lemon,150,,,,,
188,Something Borrowed Shirt,something-borrowed-shirt-sky,150,,,,,
189,Something Borrowed Shirt,something-borrowed-shirt-pecan,150,,,,,
190,Something Borrowed Shirt,something-borrowed-shirt-cocoa,150,,,,,
191,Something Borrowed Shirt,something-borrowed-shirt-lake,150,,,,,
192,Something Cool Button Down,something-cool-button-down-coconut,170,,,,,
193,Something Cool Button Down,something-cool-button-down-black,170,,,,,
194,Something Cool Button Down,something-cool-button-down-merlot,170,,,,,
195,Something Cool Button Down,something-cool-button-down-chili,170,,,,,
196,Something Cool Button Down,something-cool-button-down-lake,170,,,,,
197,Something Tailored Shirt,womens-v-neck-top-something-tailored,150,,,,,
198,Something Tailored Shirt,something-tailored-shirt-midnight,150,,,,,
199,Something Tailored Shirt,something-tailored-shirt-black,150,,,,,
200,Something Tailored Shirt,something-tailored-shirt-sky,150,,,,,
201,Straight Up Dress Pants,womens-work-dress-pants-straight-up,160,,,,,
202,Straight Up Dress Pants,straight-up-dress-pants-midnight,160,,,,,
203,Straight Up Dress Pants,straight-up-dress-pants-pecan,160,,,,,
204,Straight Up Dress Pants,straight-up-dress-pants-olive,160,,,,,
205,Strategy Blazer,womens-boxy-blazer-jacket-strategy,245,,,,,
206,Strategy Blazer,strategy-blazer-black,245,,,,,
207,Strategy Blazer,copy-of-strategy-blazer,245,,,,,
208,Suits You Wrap Blouse,suits-you-wrap-blouse-white,145,,,,,
209,Sunday Morning Pants,copy-of-sunday-morning-pants,165,,,,,
210,Tailor-Made Pants,womens-tailored-pants-tailor-made,165,,,,,
