Column1,Cloth_Desc,Price
179,Super High Waist Denim Skinnies - Charcoal,11.98
180,Skinny Uniform Pants - Khaki,19.99
181,Work Of Art Long Sleeve Maxi Dress - Multi Color,34.99
182,Body Moves Ankle Jeans - Dark,15.0
183,Keep It On The Low Set - Black,5.98
184,Beach Bum Jeans - Light Blue,15.98
185,Falls Favorite Girl Sweater II - Black,10.0
186,Jojo Dress - Black,29.99
187,Maura Mesh Dress - Black,34.99
188,Isabella High Waisted Skinny Jeans - Medium Wash,15.0
189,Running Around High Rise Legging - Charcoal,8.0
190,Relaxed Vibe Joggers - Heather Grey,14.0
191,Maura Mesh Dress - Mauve,34.99
192,Sugar Free Dress - Burgundy,44.99
193,Tea Leaf Ring Set - Gold,9.99
194,Whole Lotta Class Satin Mini Dress - Multi,27.99
195,Jessica Skinny Jeans - Dark Denim,15.0
196,Take Your Mind Off Leggings - Black,12.0
197,Baby Got Back Booty Lifting Jeans - Light Blue Wash,22.99
198,Frisky Feline Jumpsuit - Black,29.99
199,I Got It From My Mama Jeans - Black,18.0
200,Classic Beauty Booty Lifter Skinny Jeans - Medium Blue Wash,34.99
201,Shanghai Ruched Dress - Hunter Green,16.0
202,Victoria High Waisted Dress Pants - White,22.0
203,Sedona High Rise Skinny Jean - Light Blue Wash,18.0
204,Do My Dance High Waist Jeans - Light,12.0
205,Feather Weather Sliders - Black,19.99
206,Kim Choker - Silver,14.99
207,Sunshine See Through Cover Up Pant - White,34.99
208,Eva Super Soft Curvy Skinny Jean - Black,20.0
209,Brianne High Rise Leggings - Black,24.99
210,Shanghai Ruched Dress - Burgundy,16.0
211,Shake That Thing Jeans - Black,19.99
212,Nova Season Shortie Romper - Black,12.0
213,Emma Super Stretch High Rise Skinny Jean - Black,29.99
214,Chase The Bag Stacked Pant - Black,25.99
215,Late Night Texts Vinyl Pants - Black,49.99
216,Selah Hoop Earrings - Gold,9.99
217,Brunch Date Dress - Navy,44.99
218,In My Shadow Jumpsuit - Black,59.99
